"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:44:07:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percV","show-energy?","percA","energiaAlimento","penergH","reproducao_leoes","reproducao_hienas","nleao","percC","reproducao?","tempo_descanso","nhienas","qenergia","penergL","[step]","count turtles","count hienas","count leoes"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","691","499","192"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","30","769","415","354"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","31","889","375","514"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","753","384","369"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","31","929","595","334"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","29","797","569","228"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","664","325","339"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","949","245","704"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","31","808","445","363"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","31","1184","665","519"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","29","705","521","184"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","32","947","405","542"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","29","797","408","389"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","30","841","606","235"
